功率	电机报警	整机工作模式
275		
275		
275		
275		
275		12
275		12
275		12
275		12
275		12
275		12
275		12
275		12
275		12
275		12
275		12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275		
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	12
275	0	
